Plan,Section,Specs,DB_Monthly,VM_Monthly,Diff_Monthly,VM_Quarterly,VM_SemiAnnual,VM_Annual,VM_Biennial,VM_Triennial
C.128GB,CPU Optimized,128 GB | RAM | 16 | vCPU | 840 GB | SSD Storage,22560.0,26056,3496.0,78170,156340,312681,625363,938044
C.16GB,CPU Optimized,16 GB | RAM | 6 | vCPU | 320 GB | SSD Storage,5280.0,6098,818.0,18295,36590,73180,146361,219542
C.256GB,CPU Optimized,256 GB | RAM | 24 | vCPU | 1280 GB | SSD Storage,40320.0,46569,6249.0,139708,279417,558835,1117669,1676505
C.32GB,CPU Optimized,32 GB | RAM | 8 | vCPU | 480 GB | SSD Storage,8320.0,9609,1289.0,28828,57657,115315,230630,345945
C.48GB,CPU Optimized,48 GB | RAM | 10 | vCPU | 512 GB | SSD Storage,10848.0,12529,1681.0,37588,75176,150353,300706,451059
C.4GB,CPU Optimized,4 GB | RAM | 2 | vCPU | 80 GB | SSD Storage,1520.0,1672,152.0,5016,10032,20064,40128,60192
C.64GB,CPU Optimized,64 GB | RAM | 12 | vCPU | 640 GB | SSD Storage,13760.0,15892,2132.0,47678,95356,190713,381427,572140
C.8GB,CPU Optimized,8 GB | RAM | 4 | vCPU | 160 GB | SSD Storage,3040.0,3344,304.0,10032,20064,40128,80256,120384
C.96GB,CPU Optimized,96 GB | RAM | 16 | vCPU | 740 GB | SSD Storage,18960.0,21898,2938.0,65696,131392,262785,525571,788356
G.128GB,General Purpose,128 GB | RAM | 16 | vCPU | 840 GB | SSD Storage,19360.0,22360,3000.0,67082,134164,268329,536659,804988
G.16GB,General Purpose,16 GB | RAM | 6 | vCPU | 320 GB | SSD Storage,4080.0,4643,563.0,13929,27858,55717,111434,167151
G.256GB,General Purpose,256 GB | RAM | 24 | vCPU | 1280 GB | SSD Storage,35520.0,41025,5505.0,123076,246153,492307,984614,1476921
G.32GB,General Purpose,32 GB | RAM | 8 | vCPU | 480 GB | SSD Storage,6720.0,7761,1041.0,23284,46569,93139,186278,279417
G.48GB,General Purpose,48 GB | RAM | 10 | vCPU | 512 GB | SSD Storage,8848.0,10219,1371.0,30658,61316,122633,245266,367899
G.4GB,General Purpose,4 GB | RAM | 2 | vCPU | 80 GB | SSD Storage,1120.0,1232,112.0,3696,7392,14784,29568,44352
G.64GB,General Purpose,64 GB | RAM | 12 | vCPU | 640 GB | SSD Storage,11360.0,13120,1760.0,39362,78724,157449,314899,472348
G.8GB,General Purpose,8 GB | RAM | 4 | vCPU | 160 GB | SSD Storage,2240.0,2464,224.0,7392,14784,29568,59136,88704
G.96GB,General Purpose,96 GB | RAM | 16 | vCPU | 740 GB | SSD Storage,15760.0,18202,2442.0,54608,109216,218433,436867,655300
M.128GB,Memory Optimized,128 GB | RAM | 10 | vCPU | 640 GB | SSD Storage,17360.0,20050,2690.0,60152,120304,240609,481219,721828
M.16GB,Memory Optimized,16 GB | RAM | 2 | vCPU | 160 GB | SSD Storage,2640.0,3049,409.0,9147,18295,36590,73180,109771
M.192GB,Memory Optimized,192 GB | RAM | 12 | vCPU | 740 GB | SSD Storage,24560.0,28366,3806.0,85100,170200,340401,680803,1021204
M.256GB,Memory Optimized,256 GB | RAM | 16 | vCPU | 840 GB | SSD Storage,32160.0,37144,4984.0,42134,84268,168537,337075,505612
M.32GB,Memory Optimized,32 GB | RAM | 4 | vCPU | 320 GB | SSD Storage,5280.0,6098,818.0,18295,36590,73180,146361,219542
M.384GB,Memory Optimized,384 GB | RAM | 24 | vCPU | 1280 GB | SSD Storage,48320.0,55809,7489.0,167428,334857,669715,1339430,2009145
M.64GB,Memory Optimized,64 GB | RAM | 6 | vCPU | 480 GB | SSD Storage,9520.0,10995,1475.0,32986,65973,131947,263894,395841
M.8GB,Memory Optimized,8 GB | RAM | 1 | vCPU | 80 GB | SSD Storage,1320.0,1452,132.0,4356,8712,17424,34848,52272
M.96GB,Memory Optimized,96 GB | RAM | 8 | vCPU | 512 GB | SSD Storage,13248.0,15301,2053.0,45904,91808,183617,183617,550851
